tweet_id,Stance
1262599769282637824,AGAINST
1262599776219959297,AGAINST
1262599778254323712,AGAINST
1262599801499086850,AGAINST
1262599806406373376,AGAINST
1262599811456471041,FAVOR
1262599811695435776,AGAINST
1262599814824562690,AGAINST
1262599815805968384,FAVOR
1262599829106167810,NONE
1262599831698235395,NONE
1262599840275423233,NONE
1262599844255772672,NONE
1262599848928387072,NONE
1262599850098647042,FAVOR
1262599852480884742,AGAINST
1262599861838348288,NONE
1262599870747115520,AGAINST
1262599871066001409,NONE
1262599875637592064,NONE
1262599878770692097,AGAINST
1262599895602561024,AGAINST
1262599899528548354,NONE
1262599908177125379,AGAINST
1262599915332612096,AGAINST
1262599917085884421,NONE
1262599922282565632,AGAINST
1262599924102787073,AGAINST
1262599927894380545,AGAINST
1262599931698782211,NONE
1262599941962100736,AGAINST
1262599947804950528,AGAINST
1262599949411160064,AGAINST
1262599950166351872,FAVOR
1262599957875392513,AGAINST
1262599958647263235,AGAINST
1262599963625717760,NONE
1262599966142402560,FAVOR
1262599970093334536,AGAINST
1262599977429327878,AGAINST
1262599980650389504,AGAINST
1262599999956717568,AGAINST
1262600007208894464,AGAINST
1262600007565185024,AGAINST
1262600007888195584,NONE
1262600020429287426,AGAINST
1262600029463707648,AGAINST
1262600035142963200,NONE
1262600040696221698,FAVOR
1262600042730455041,AGAINST
1262600045016350721,AGAINST
1262600047864115200,AGAINST
1262600067329880064,AGAINST
1262600072329490433,AGAINST
1262600083364671488,AGAINST
1262600086443511808,AGAINST
1262600092109819906,NONE
1262600099529711616,AGAINST
1262600101433946113,AGAINST
1262600129271476225,AGAINST
1262600149328515072,NONE
1262600153212563457,AGAINST
1262600153275551744,AGAINST
1262600156085714944,NONE
1262600156593246210,AGAINST
1262600159755735042,AGAINST
1262600162549157888,NONE
1262600168127553536,AGAINST
1262600173567438848,AGAINST
1262600177644421126,FAVOR
1262600181880705024,NONE
1262600199450443776,AGAINST
1262600199874080768,AGAINST
1262600201035898881,AGAINST
1262600203317673990,AGAINST
1262600207805698048,FAVOR
1262600225601945603,AGAINST
1262600233881665536,NONE
1262600244224643073,NONE
1262600244455526400,AGAINST
1262600255553499136,AGAINST
1262600256761417728,AGAINST
1262600257193549824,FAVOR
1262600257889861632,NONE
1262600259869564929,AGAINST
1262600261454848002,AGAINST
1262600263610728448,AGAINST
1262600266437689347,NONE
1262600275011022849,NONE
1262600276806156288,NONE
1262600277506621441,FAVOR
1262600277640740865,AGAINST
1262600290253053953,AGAINST
1262600292035518464,AGAINST
1262600294170611712,AGAINST
1262600299975331841,NONE
1262600301850136579,AGAINST
1262600309668368384,AGAINST
1262600312218701824,AGAINST
1262600316404498433,AGAINST
1262600316714807296,AGAINST
1262600319210590214,NONE
1262600324813996032,AGAINST
1262600337170579465,NONE
1262600352815370240,NONE
1262600353058447362,AGAINST
1262600355386470402,AGAINST
1262600360432148480,AGAINST
1262600365662507010,AGAINST
1262600367453290497,AGAINST
1262600368216735744,AGAINST
1262600369521283072,NONE
1262600370993446912,AGAINST
1262600377452638208,AGAINST
1262600379289788417,AGAINST
1262600384519917569,NONE
1262600415473995776,AGAINST
1262600416241553414,AGAINST
1262600418892435457,NONE
1262600422075674625,AGAINST
1262600428081967109,AGAINST
1262600429952741378,NONE
1262600437519118337,NONE
1262600439905820672,AGAINST
1262600447258476553,AGAINST
1262600458670968833,AGAINST
1262600461544296448,NONE
1262600473808375808,NONE
1262600476748419072,FAVOR
1262600495786532866,AGAINST
1262600498823266307,FAVOR
1262600503537664000,AGAINST
1262600504527294464,NONE
1262600515927638016,FAVOR
1262600516862967808,AGAINST
1262600520939696129,AGAINST
1262600524597129218,AGAINST
1262600526169993217,AGAINST
1262600528745267201,NONE
1262600529852710914,AGAINST
1262600539885277184,AGAINST
1262600546126639104,AGAINST
1262600549934837760,AGAINST
1262600564514402304,NONE
1262600590032433152,AGAINST
1262600592092004352,NONE
1262600615835942914,AGAINST
1262600616775503878,AGAINST
1262600618889240576,AGAINST
1262600627475091459,FAVOR
1262600635351994369,AGAINST
1262600637986062346,AGAINST
1262600642645897219,AGAINST
1262600658458251265,NONE
1262600680428240897,AGAINST
1262600702267928577,AGAINST
1262600715219935232,NONE
1262600729983926272,AGAINST
1262600739085414401,AGAINST
1262600761441206274,AGAINST
1262600763425112064,AGAINST
1262600772983959553,AGAINST
1262600775991095301,AGAINST
1262600780789547011,AGAINST
1262600780982497282,AGAINST
1262600784744718336,AGAINST
1262600786321825793,AGAINST
1262600787437531136,AGAINST
1262600794534109184,AGAINST
1262600804504133632,AGAINST
1262600811646943232,NONE
1262600846904352768,NONE
1262600853942198272,AGAINST
1262600855225872384,FAVOR
1262600858698735628,AGAINST
1262600862305792005,AGAINST
1262600853934034944,NONE
1262600861282373634,AGAINST
1262600864985997312,AGAINST
1262600870006607874,AGAINST
1262600871654744064,AGAINST
1262600885579870208,NONE
1262600886922227713,NONE
1262600891397439493,AGAINST
1262600895998521350,AGAINST
1262600900289261568,AGAINST
1262600915326042113,AGAINST
1262600948012273664,FAVOR
1262600957084545024,AGAINST
1262600961010339840,AGAINST
1262600979024920576,AGAINST
1262600979347763201,AGAINST
1262600986989858817,NONE
1262600992677380096,AGAINST
1262601000696926210,NONE
1262601003662098432,AGAINST
1262601006636032002,NONE
1262601012113596416,AGAINST
1262601012184936448,AGAINST
1262601014315712512,AGAINST
1262601018094710788,AGAINST
1262601030807597056,AGAINST
1262601049673805824,NONE
1262601051602972672,NONE
1262601059299733505,NONE
1262601059912101888,NONE
1262601061103136768,AGAINST
1262601074734579712,AGAINST
1262601077481865216,AGAINST
1262601085933334530,FAVOR
1262601086319210496,NONE
1262601089792131073,AGAINST
1262601090815668224,AGAINST
1262601094208933888,AGAINST
1262601096347791360,FAVOR
1262601110650527744,AGAINST
1262601116815994880,AGAINST
1262601117243973633,AGAINST
1262601117608734722,NONE
1262601123145400320,NONE
1262601123430412289,AGAINST
1262601127176155136,NONE
1262601142611013632,FAVOR
1262601147728171014,FAVOR
1262601150215274497,AGAINST
1262601155042926593,FAVOR
1262601173682569218,AGAINST
1262601174919847936,NONE
1262601199213305856,AGAINST
1262601208126005249,AGAINST
1262601209074135042,AGAINST
1262601210755981312,NONE
1262601212937068545,AGAINST
1262601214140780544,NONE
1262601223879999493,AGAINST
1262601225675177985,AGAINST
1262601238505336833,AGAINST
1262601239952490496,AGAINST
1262601241114275843,AGAINST
1262601247879823361,AGAINST
1262601255118974978,NONE
1262601255593160705,AGAINST
1262601258050846727,AGAINST
1262601261465075712,NONE
1262601261641355264,AGAINST
1262601274337435655,AGAINST
1262601279945277440,AGAINST
1262601286471618561,AGAINST
1262601288270807042,AGAINST
1262601292419080192,AGAINST
1262601300509814785,NONE
1262601301332037632,AGAINST
1262601302053474305,AGAINST
1262601302539829250,AGAINST
1262601307724054529,AGAINST
1262601319044378625,AGAINST
1262601325960978432,NONE
1262601330943619074,FAVOR
1262601333279842304,NONE
1262601337314910209,AGAINST
1262601337495097344,FAVOR
1262601344537423872,NONE
1262601345304981505,NONE
1262601363319427073,AGAINST
1262601371175485440,NONE
1262601373809442816,AGAINST
1262601374052818944,AGAINST
1262601378557571075,AGAINST
1262601378729467905,AGAINST
1262601379199287296,AGAINST
1262601381015240704,AGAINST
1262601382110146560,FAVOR
1262601390205042688,AGAINST
1262601396291018755,AGAINST
1262601399004782592,AGAINST
1262601399797350402,AGAINST
1262601403211476992,AGAINST
1262601403622518784,AGAINST
1262601404679467014,AGAINST
1262601406638198784,AGAINST
1262601418470494214,AGAINST
1262601420278312960,NONE
1262601423457566720,AGAINST
1262601433330876416,NONE
1262601434106740736,AGAINST
1262601437089013766,AGAINST
1262601437416009728,AGAINST
1262601443942576129,FAVOR
1262601446656077825,AGAINST
1262601455845797890,FAVOR
1262601467023839232,FAVOR
1262601475823411211,FAVOR
1262601482685353985,AGAINST
1262601490461581312,AGAINST
1262601490637697024,AGAINST
1262601500326539265,NONE
1262601511391186944,AGAINST
1262601511823200262,FAVOR
1262601515576909826,AGAINST
1262601517606952960,AGAINST
1262601519309877249,AGAINST
1262601526863777792,AGAINST
1262601533625176064,AGAINST
1262601546904158209,AGAINST
1262601556517683200,FAVOR
1262601557578661891,AGAINST
1262601564742541318,AGAINST
1262601566281924613,NONE
1262601566697086977,NONE
1262601569796714496,AGAINST
1262601582396338176,NONE
1262601582891458562,NONE
1262601587374972929,NONE
1262601591057780736,AGAINST
1262601591808421895,AGAINST
1262601591967887360,NONE
1262601601086222337,AGAINST
1262601606601867265,AGAINST
1262601610527727617,FAVOR
1262601611676995586,AGAINST
1262601613082079232,AGAINST
1262601618320752643,NONE
1262601620308856835,NONE
1262601625954168832,FAVOR
1262601629359988738,NONE
1262601630576328705,AGAINST
1262601640260956162,AGAINST
1262601642429624327,AGAINST
1262601642521878528,AGAINST
1262601650969047041,NONE
1262601652214747136,AGAINST
1262601652919468032,AGAINST
1262601652919468035,AGAINST
1262601660028850178,FAVOR
1262601660892921856,AGAINST
1262601670682435588,AGAINST
1262601678978777088,AGAINST
1262601688675790850,FAVOR
1262601708917661699,NONE
1262601708997185541,AGAINST
1262601715523760128,AGAINST
1262601717255770112,NONE
1262601749027848192,AGAINST
1262601751376650246,NONE
1262601772692049927,AGAINST
1262601774973644801,AGAINST
1262601786965147648,AGAINST
1262601795584565248,NONE
1262601801112727553,AGAINST
1262601802794459136,AGAINST
1262601803809452033,AGAINST
1262601812038651904,AGAINST
1262601814093881344,AGAINST
1262601842082471939,AGAINST
1262601842103595010,AGAINST
1262601842980089856,AGAINST
1262601844418768896,NONE
1262601846478249986,NONE
1262601849808576513,AGAINST
1262601850857025541,AGAINST
1262601854019567616,NONE
1262601855147880449,AGAINST
1262601861569433600,FAVOR
1262601861712031745,AGAINST
1262601866879401987,AGAINST
1262601869639200768,AGAINST
1262601873657339904,NONE
1262601885611147267,NONE
1262601894125375488,NONE
1262601902321213441,NONE
1262601906142302208,NONE
1262601909472542721,NONE
1262601912395763712,AGAINST
1262601914270662661,AGAINST
1262601923997437953,NONE
1262601925930954752,NONE
1262601933128232961,AGAINST
1262601934009036800,AGAINST
1262601937511301121,AGAINST
1262601938455203841,FAVOR
1262601947099664389,FAVOR
1262601960860999680,NONE
1262601972429053952,NONE
1262601974547017730,AGAINST
1262601977550299137,AGAINST
1262601977789366275,AGAINST
1262601987016855552,FAVOR
1262601987927007232,AGAINST
1262601991915737091,AGAINST
1262601993769701377,AGAINST
1262602008306966529,FAVOR
1262602010219577346,AGAINST
1262602017152909314,AGAINST
1262602017555578882,NONE
1262602019216470016,FAVOR
1262602027785490432,AGAINST
1262602044008890370,FAVOR
1262602052879949836,AGAINST
1262602053404241921,AGAINST
1262602061914402816,AGAINST
1262602065970368512,NONE
1262602081438965761,AGAINST
1262602081971703808,AGAINST
1262602085687685120,FAVOR
1262602114255204354,AGAINST
1262602115672875014,FAVOR
1262602116700438528,AGAINST
1262602117384208385,AGAINST
1262602122522234880,AGAINST
1262602123012788224,NONE
1262602130021646337,AGAINST
1262602131904872448,NONE
1262602134824128513,NONE
1262602136334016513,NONE
1262602144080736256,AGAINST
1262602149772451841,AGAINST
1262602160396578818,AGAINST
1262602164251353088,FAVOR
1262602164653813760,AGAINST
1262602167447240705,NONE
1262602182291062785,NONE
1262602199886188546,AGAINST
1262602200120823809,NONE
1262602201811292160,FAVOR
1262602205284061184,AGAINST
1262602220958171136,AGAINST
1262602223638310914,FAVOR
1262602237559181312,NONE
1262602237643276289,AGAINST
1262602238536511488,AGAINST
1262602258736267265,NONE
1262602262431465474,AGAINST
1262602263790485505,AGAINST
1262602273051598848,AGAINST
1262602280584523777,AGAINST
1262602281876242433,AGAINST
1262602284699172866,AGAINST
1262602285215072256,FAVOR
1262602291145838592,FAVOR
1262602301472157696,NONE
1262602302793420800,FAVOR
1262602309239894016,AGAINST
1262602316886282240,AGAINST
1262602318547222530,FAVOR
1262602319994093568,AGAINST
1262602322196209665,FAVOR
1262602325904044042,AGAINST
1262602336188301312,NONE
1262602348595236868,AGAINST
1262602349480161280,NONE
1262602352017543168,NONE
1262602355478073353,AGAINST
1262602359252807680,AGAINST
1262602369407254528,AGAINST
1262602372678746112,AGAINST
1262602378227916800,NONE
1262602381696675845,NONE
1262602384741720064,AGAINST
1262602397773414403,AGAINST
1262602407051132928,AGAINST
1262602411933196289,AGAINST
1262602416496668675,NONE
1262602422352035842,AGAINST
1262602423245258752,AGAINST
1262602427141849088,AGAINST
1262602431097008129,AGAINST
1262602434502942720,NONE
1262602440874110976,NONE
1262602443524837376,FAVOR
1262602447920304128,AGAINST
1262602467319197698,FAVOR
1262602481378320385,AGAINST
1262602485870592001,AGAINST
1262602487569104897,FAVOR
1262602495353917440,AGAINST
1262602510881247238,AGAINST
1262602513355689984,AGAINST
1262602513368461314,NONE
1262602518728544257,AGAINST
1262602529050890242,AGAINST
1262602533551423488,NONE
1262602537019924480,NONE
1262602538395660288,AGAINST
1262602540383862786,AGAINST
1262602546683805699,AGAINST
1262602553050771456,FAVOR
1262602558000050176,FAVOR
1262602565851766784,AGAINST
1262602570532442114,NONE
1262602571488743425,NONE
1262602580372357120,NONE
1262602583035838465,AGAINST
1262602587137642498,AGAINST
1262602588647759880,AGAINST
1262602592825356288,NONE
1262602594574381057,AGAINST
1262602617554907144,AGAINST
1262602634042781704,NONE
1262602638186684416,NONE
1262602639038128128,AGAINST
1262602640078172161,AGAINST
1262602640900395009,FAVOR
1262602643899215877,AGAINST
1262602646319480832,AGAINST
1262602652053114883,AGAINST
1262602658025803781,NONE
1262602672114298880,FAVOR
1262602676019187712,NONE
1262602678011658240,AGAINST
1262602684365975552,AGAINST
1262602686777753601,FAVOR
1262602692943175680,AGAINST
1262602698282733568,AGAINST
1262602702766452737,NONE
1262602706012655616,AGAINST
1262602724106997760,AGAINST
1262602724690006017,AGAINST
1262602725918998528,AGAINST
1262602731946196993,FAVOR
1262602757002932226,AGAINST
1262602762073837576,AGAINST
1262602763860537344,AGAINST
1262602764527390725,NONE
1262602769967521793,AGAINST
1262602771498319872,AGAINST
1262602775344689152,NONE
1262602792021061632,AGAINST
1262602795439525889,NONE
1262602795695460352,AGAINST
1262602796106424321,AGAINST
1262602798337871872,AGAINST
1262602798807388161,AGAINST
1262602799776317442,AGAINST
1262602801131241472,FAVOR
1262602814473166849,AGAINST
1262602824984276995,NONE
1262602827643473920,AGAINST
1262602829820309504,NONE
1262602834597548033,NONE
1262602840041754624,AGAINST
1262602840058531845,AGAINST
1262602842486927360,AGAINST
1262602855401152513,NONE
1262602862720356359,NONE
1262602864721121282,FAVOR
1262602865874472961,AGAINST
1262602871708635136,AGAINST
1262602873579474944,AGAINST
1262602878516105218,AGAINST
1262602879216635904,NONE
1262602881691078657,AGAINST
1262602885587582976,AGAINST
1262602888750260228,AGAINST
1262602894320250880,NONE
1262602900758552576,AGAINST
1262602902440497152,FAVOR
1262602916868706305,AGAINST
1262602920836493315,NONE
1262602920912093185,NONE
1262602950565904385,AGAINST
1262602956576182274,NONE
1262602957889040385,FAVOR
1262602963081588736,NONE
1262602963387891712,AGAINST
1262602969364729857,NONE
1262602992533954560,NONE
1262603005712650240,AGAINST
1262603007230951424,AGAINST
1262603010926141441,AGAINST
1262603011622203392,AGAINST
1262603015040704512,NONE
1262603033030131713,AGAINST
1262603041431121920,AGAINST
1262603042865602561,AGAINST
1262603044254109701,AGAINST
1262603049240936448,AGAINST
1262603050944008193,NONE
1262603053397684227,FAVOR
1262603061693870080,AGAINST
1262603066554986496,AGAINST
1262603080425549824,AGAINST
1262603081646108672,NONE
1262603109676789760,AGAINST
1262603112956571649,NONE
1262603125627772929,AGAINST
1262603127993233408,AGAINST
1262603131482804225,AGAINST
1262603133257232386,NONE
1262603134649729024,AGAINST
1262603127896891392,NONE
1262603140496371713,AGAINST
1262603141129949184,NONE
1262603146666414082,FAVOR
1262603149841440768,NONE
1262603155705147395,FAVOR
1262603155868696578,FAVOR
1262603156623519749,AGAINST
1262603162013204483,AGAINST
1262603191600001024,AGAINST
1262603191675387904,FAVOR
1262603199048892418,AGAINST
1262603217365602304,AGAINST
1262603219383001088,NONE
1262603222382006275,AGAINST
1262603223426371586,AGAINST
1262603229143031810,AGAINST
1262603232607522817,AGAINST
1262603232645275651,AGAINST
1262603235338129409,FAVOR
1262603241432346624,AGAINST
1262603245614067712,NONE
1262603253969154048,FAVOR
1262603254145277952,NONE
1262603256389304320,FAVOR
1262603268674318341,FAVOR
1262603276496797696,AGAINST
1262603287435436033,AGAINST
1262603287523713024,AGAINST
1262603302073761794,AGAINST
1262603305332518913,AGAINST
1262603309745090560,NONE
1262603310231519233,AGAINST
1262603336026591238,NONE
1262603339977687041,NONE
1262603345216147458,FAVOR
1262603348462665729,AGAINST
1262603348621979649,AGAINST
1262603365751484417,AGAINST
1262603370394718208,AGAINST
1262603375528628225,AGAINST
1262603378502270977,AGAINST
1262603382818107393,NONE
1262603393245351936,AGAINST
1262603398446268418,AGAINST
1262603405358329857,AGAINST
1262603406109097985,NONE
1262603413260550145,AGAINST
1262603417786232833,NONE
1262603417987448832,AGAINST
1262603419690455041,NONE
1262603425021231104,AGAINST
1262603426275266560,AGAINST
1262603427785424897,AGAINST
1262603428049629184,AGAINST
1262603434231861248,AGAINST
1262603435532324870,NONE
1262603437004341249,AGAINST
1262603440783413250,AGAINST
1262603443346309120,AGAINST
1262603445317427200,NONE
1262603445929938946,NONE
1262603448014589954,FAVOR
1262603463453802498,AGAINST
1262603473368956928,AGAINST
1262603475403378690,NONE
1262603485234618368,AGAINST
1262603491010174976,AGAINST
1262603495221235712,AGAINST
1262603496127250432,NONE
1262603502418710530,AGAINST
1262603507158396928,AGAINST
1262603511159635969,AGAINST
1262603517778366464,AGAINST
1262603525978284032,AGAINST
1262603535012765698,AGAINST
1262603536661123078,AGAINST
1262603543942295557,AGAINST
1262603549449519105,AGAINST
1262603550204411904,AGAINST
1262603560564465664,AGAINST
1262603562091261955,NONE
1262603570655813632,NONE
1262603581468798982,AGAINST
1262603585730146304,AGAINST
1262603592357249024,AGAINST
1262603592860655616,AGAINST
1262603611135250433,NONE
1262603616470413317,AGAINST
1262603624942727168,AGAINST
1262603627673407490,AGAINST
1262603628591771653,AGAINST
1262603629346746368,AGAINST
1262603643682828289,NONE
1262603646090371072,AGAINST
1262603647499862016,AGAINST
1262603650863636480,NONE
1262603655045246976,AGAINST
1262603660401483776,NONE
1262603662494400512,AGAINST
1262603663454941184,AGAINST
1262603670773919744,AGAINST
1262603672971862018,AGAINST
1262603673479401472,NONE
1262603686288560129,NONE
1262603689057046531,NONE
1262603690478886913,AGAINST
1262603710984679424,NONE
1262603711463018496,AGAINST
1262603713887305729,NONE
1262603737882939393,AGAINST
1262603740093329409,NONE
1262603745516490752,AGAINST
1262603753242398720,NONE
1262603755389771776,NONE
1262603756841156610,AGAINST
1262603758506258432,NONE
1262603769084121090,AGAINST
1262603769797390338,AGAINST
1262603773374955520,NONE
1262603804404445186,AGAINST
1262603804777893889,AGAINST
1262603811035758597,AGAINST
1262603811140415488,AGAINST
1262603812587679744,AGAINST
1262603813430542336,AGAINST
1262603817847267330,AGAINST
1262603821584470016,FAVOR
1262603823916425217,AGAINST
1262603826600611843,AGAINST
1262603852005535745,NONE
1262603855193272320,FAVOR
1262603872188669953,AGAINST
1262603887019778050,NONE
1262603887833485312,AGAINST
1262603901699645441,AGAINST
1262603903373160449,AGAINST
1262603903805411329,AGAINST
1262603904941993985,NONE
1262603908918042624,AGAINST
1262603927004033025,AGAINST
1262603928367226880,NONE
1262603928916484096,AGAINST
1262603931089174529,AGAINST
1262603932448305152,AGAINST
1262603935098888192,AGAINST
1262603936961310723,NONE
1262603939888988160,NONE
1262603951935021056,AGAINST
1262603963624538112,AGAINST
1262603966048690176,AGAINST
1262603971702685697,AGAINST
1262603979537567751,AGAINST
1262604005861031936,AGAINST
1262604005970067456,AGAINST
1262604007555706880,AGAINST
1262604009040273408,AGAINST
1262604016044785664,AGAINST
1262604025477820416,AGAINST
1262604033178697729,AGAINST
1262604044977213443,NONE
1262604051931422727,AGAINST
1262604055622438914,AGAINST
1262604062626844672,AGAINST
1262604070478643201,AGAINST
1262604071455744000,AGAINST
1262604072500121602,AGAINST
1262604080607723520,AGAINST
1262604089457700864,AGAINST
1262604098710441984,FAVOR
1262604112757239810,NONE
1262604119602159617,NONE
1262604123016278016,AGAINST
1262604126669508609,NONE
1262604134211035137,AGAINST
1262604140842229761,AGAINST
1262604144428429313,NONE
1262604145317548032,AGAINST
1262604147997782016,NONE
1262604152108007424,AGAINST
1262604172567994369,AGAINST
1262604172630818818,AGAINST
1262604176326119428,AGAINST
1262604179500982272,NONE
1262604189659656192,NONE
1262604189659783168,AGAINST
1262604192247676928,AGAINST
1262604208135532545,AGAINST
1262604209511231490,NONE
1262604212711522305,AGAINST
1262604215672647680,AGAINST
1262604224036208647,AGAINST
1262604230596030464,NONE
1262604231502151683,AGAINST
1262604235708854274,AGAINST
1262604240385703936,NONE
1262604244139470848,AGAINST
1262604253220098048,AGAINST
1262604267803815937,NONE
1262604273763921920,AGAINST
1262604274099384321,AGAINST
1262604274627784706,AGAINST
1262604323948597248,AGAINST
1262604325219717120,FAVOR
1262604327962714112,FAVOR
1262604330571575301,NONE
1262604340545626112,AGAINST
1262604349215137792,AGAINST
1262604358853824512,AGAINST
1262604360632037376,AGAINST
1262604371927265280,AGAINST
1262604374615851009,AGAINST
1262604375417118723,AGAINST
1262604379045183488,AGAINST
1262604379464577025,AGAINST
1262604380047642630,AGAINST
1262604390311112704,AGAINST
1262604392303218688,AGAINST
1262604395918823425,AGAINST
1262604405913853959,AGAINST
1262604408560418816,AGAINST
1262604418643570690,AGAINST
1262604425832607745,AGAINST
1262604431813681158,FAVOR
1262604437110939648,NONE
1262604438079967233,FAVOR
1262604438918832128,AGAINST
1262604444912533504,AGAINST
1262604459256893441,AGAINST
1262604472791916550,NONE
1262604473983275008,FAVOR
1262604494380072960,AGAINST
1262604500755513346,AGAINST
1262604503494340614,NONE
1262604521101901824,AGAINST
1262604524486828037,FAVOR
1262604527447928833,NONE
1262604540072738816,AGAINST
1262604549795254274,FAVOR
1262604553343680512,AGAINST
1262604558620114945,AGAINST
1262604559374942209,AGAINST
1262604562466082817,AGAINST
1262604563263090688,FAVOR
1262604570498420736,NONE
1262604572796882944,AGAINST
1262604573124018177,NONE
1262604582515101696,AGAINST
1262604586092658695,AGAINST
1262604596406390786,AGAINST
1262604618590117888,AGAINST
1262604620137988096,NONE
1262604625724821507,AGAINST
1262604626869788672,AGAINST
1262604629289971713,NONE
1262604640505303040,AGAINST
1262604642220941312,AGAINST
1262604661569269760,AGAINST
1262604671610470407,AGAINST
1262604672164155393,AGAINST
1262604672851902464,AGAINST
1262604674437242881,AGAINST
1262604678090706944,AGAINST
1262604681630625794,AGAINST
1262604687578214400,AGAINST
1262604688672935936,AGAINST
1262604695400374273,AGAINST
1262604707329191939,AGAINST
1262604710940303360,AGAINST
1262604717206585345,AGAINST
1262604718456606720,FAVOR
1262604719140339712,NONE
1262604727260413952,AGAINST
1262604740007022592,NONE
1262604753621536768,AGAINST
1262604755446181888,FAVOR
1262604755521679362,AGAINST
1262604756024950784,AGAINST
1262604762781868034,AGAINST
1262604768561823747,AGAINST
1262604772017950721,NONE
1262604794155368449,NONE
1262604796328108034,AGAINST
1262604797305409536,AGAINST
1262604804699848708,AGAINST
1262604804758487041,AGAINST
1262604822852915200,NONE
1262604827713957888,AGAINST
1262604828854767617,NONE
1262604838090813440,NONE
1262604845846061057,NONE
1262604857304743936,AGAINST
1262604862883155969,FAVOR
1262604868390400001,AGAINST
1262604871238221824,NONE
1262604874937556992,AGAINST
1262604880327237632,AGAINST
1262604888338501632,AGAINST
1262604889412128769,AGAINST
1262604889491980288,AGAINST
1262604889710120961,AGAINST
1262604890322489345,NONE
1262604901366075393,AGAINST
1262604909188460545,AGAINST
1262604912678129664,AGAINST
1262604920756330498,AGAINST
1262604926858993666,AGAINST
1262604929119801345,AGAINST
1262604933104373763,AGAINST
1262604934039564288,AGAINST
1262604934245015552,AGAINST
1262604939546832897,AGAINST
1262604957309521920,AGAINST
1262604959368933376,AGAINST
1262604964767109122,AGAINST
1262604968227336192,AGAINST
1262604971628871680,AGAINST
1262604973340348416,AGAINST
1262604975361765376,AGAINST
1262604976410505221,AGAINST
1262604981577924612,AGAINST
1262604982420897792,NONE
1262604992332075008,FAVOR
1262604992759959552,AGAINST
1262604994739650562,AGAINST
1262604997776363521,AGAINST
1262604999487447040,AGAINST
1262605001651662848,AGAINST
1262605009306304512,AGAINST
1262605011265228801,NONE
1262605016805847040,AGAINST
1262605022786842624,AGAINST
1262605055003369474,NONE
1262605055770808321,AGAINST
1262605055821307904,AGAINST
